"Kernel","Module","Op","Direction","Sil(ns)","TC","FLOPs","Bytes","Device","Stream","Block","Grid"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","fprop","2240","-","0","0","0","7","512,1,1","274,1,1"
"kernelReduceAllPass1","torch.nn.functional","multi_head_attention_forward","fprop","4800","-","0","0","0","7","1024,1,1","137,1,1"
"kernelReduceAllPass2","torch.nn.functional","multi_head_attention_forward","fprop","3072","-","0","0","0","7","137,1,1","1,1,1"
"kernelPointwiseApply3","torch.nn.functional","multi_head_attention_forward","fprop","1856","-","0","0","0","7","512,1,1","274,1,1"
"kernelReduceAllPass1","torch.nn.functional","multi_head_attention_forward","fprop","3712","-","0","0","0","7","1024,1,1","137,1,1"
"kernelReduceAllPass2","torch.nn.functional","multi_head_attention_forward","fprop","2112","-","0","0","0","7","137,1,1","1,1,1"
"volta_sgemm_32x128_tn","torch.nn.functional","multi_head_attention_forward","fprop","26591","-","0","0","0","7","256,1,1","19,6,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","6944","-","0","0","0","7","128,1,1","821,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","7424","-","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3200","-","0","0","0","7","128,1,1","274,1,1"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3167","-","0","0","0","7","128,1,1","274,1,1"
"volta_sgemm_128x64_tn","torch.nn.functional","multi_head_attention_forward","fprop","21695","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3231","-","0","0","0","7","128,1,1","96,1,1"
"softmax_warp_forward","torch.nn.functional","multi_head_attention_forward","fprop","4864","-","0","0","0","7","32,4,1","175,1,1"
"fused_dropout_kernel","torch.nn.functional","multi_head_attention_forward","fprop","3424","-","0","0","0","7","256,1,1","192,1,1"
"volta_sgemm_128x64_nn","torch.nn.functional","multi_head_attention_forward","fprop","14720","-","0","0","0","7","128,1,1","1,1,40"
"elementwise_kernel","torch.nn.functional","multi_head_attention_forward","fprop","4000","-","0","0","0","7","128,1,1","274,1,1"
